Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
ALIMENTACION HERBER S.L.,"ARENYS, 44 BJ 2",,Barcelona,08035,ES-B,ES,ESB60036449
ALIMENTARIA EXHIBITIONS S.A.,"DIPUTACIO, 119",,Barcelona,08015,ES-B,ES,ESB62704457
ALLTECH SPAIN S.L.,"CAN LLETGET, 11",,Torre-Romeu,08202,ES-B,ES,ESB65227175
ALMA 99 S.L.,"SARAGOSSA, 27",,Barcelona,08006,ES-B,ES,ESB61807814
ALMACENES DE DEPOSITOS MARTAINER S.A.,"MOLL EVARISTO FERNANDEZ, 5 CIRCUNVALACION T",,Barcelona,08039,ES-B,ES,ESA61361739
ALMACENES ELECTRICOS DE GALICIA S.A.,"MUNTANER, 200 2 5",,Barcelona,08036,ES-B,ES,ESA58259649
ALMACENES ELECTRICOS DE LEVANTE S.A.,"MUNTANER, 200 2 5",,Barcelona,08036,ES-B,ES,ESA58014275
ALPHA LAC S.L.,"MARIA CUBI, 7 AT",,Barcelona,08006,ES-B,ES,ESB64797723
ALQUILAUTO S.L.,"PS GRACIA, 48",,Barcelona,08007,ES-B,ES,ESB60318094
ALTAMIRA INFORMATION S.L.U.,"CORSEGA, 381 5 B",,Barcelona,08037,ES-B,ES,ESB62098330
ALTA PARTNERS S.L.,"AV DIAGONAL, 399 PR 2",,Barcelona,08008,ES-B,ES,ESB61001376
ALTERNATIVAS TECNICAS DE LOS FORJADOS S.L.,"INDUSTRIA, 9",,Castellbisbal,08755,ES-B,ES,ESB61354627
ALUMAR VALLES S.L.,"CABRERA, 13 PL SUROESTE CANAL",,Sant Quirze Del Valles,08192,ES-B,ES,ESB63878748
ALUMBRADOS VIARIOS S.A.,"JOANOT MARTORELL, 71 BX",,Sabadell,08203,ES-B,ES,ESA08523094
ALUMINIOS MARTON S.L.,"CAN BERNEDA, 15 PI MOLI D EN XEC",,Ripollet,08291,ES-B,ES,ESB58103557
ALUMINIOS VALVERDE DEL VALLES S.L.,"MOLLET, S/N 9 13",,Granollers,08401,ES-B,ES,ESB63431548
ALUMINIS GIRALT S.L.,"JOSEP FINESTRES, 15",,Barcelona,08030,ES-B,ES,ESB61456349
ALUMINIS GRANOLLERS S.L.,"PS RIBERA, 117",,Barriada Nova,08420,ES-B,ES,ESB58079260
ALUMINIUM CENTER S.A.,"PS RIERA, 216",,Rubi,08191,ES-B,ES,ESA61749529
