Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
INTERNATIONAL COOKING CONCEPTS S.A.,"GRAN VIA DE LES CORTS CATALANES, 649 LC 2",,Barcelona,08010,ES-B,ES,ESA61719464
INTERNATIONAL MANAGEMENT GROUP OVERSEAS INC SUCURS,"VIA AUGUSTA, 200 4",,Barcelona,08021,ES-B,ES,ESW4001606E
INTERNATIONAL MEETINGS S.L.,"CAPITA ARENAS, 3 BJ",,Barcelona,08034,ES-B,ES,ESB59063347
INTERROLL ESPAÑA S.A.,"ELS ARGENTERS, 5",,Cerdanyola Del Valles,08290,ES-B,ES,ESA08356461
INTERSAN S.A.,"PALAU DE PLEGAMANS, 19",,Poligono 2,08213,ES-B,ES,ESA08164758
INTERSEVEN GAMING TEAM S.L.,"SANT IGNASI, 10 1",,Terrassa,08221,ES-B,ES,ESB64727621
INTERSPORT EXPANSION S.L.U.,"PG INDUSTRIAL COVA SOLERA, 14 AV ROMA",,Rubi,08191,ES-B,ES,ESB62927009
INTERTRANSIT S.A.,"CASILLA POL IND EL CON, 2",,Montornes Del Valles,08170,ES-B,ES,ESA08841470
INVERSIMO S.A.,"SANTS, 62 BJ 1",,Barcelona,08014,ES-B,ES,ESA58597188
INVERSIONES TANAKA S.L.,"CONSELL DE CENT, 382",,Barcelona,08009,ES-B,ES,ESB60733102
INVERSORA DE HOTELES URBANOS S.L.,"PS GARCIA I FARIA, 69",,Barcelona,08019,ES-B,ES,ESB82988825
INVERSORA SOLTARRACO S.L.,"TUSET, 5 5 2",,Barcelona,08006,ES-B,ES,ESB43928142
INVERTRED S.L.,"FLUVIA, 97 2 3",,Barcelona,08019,ES-B,ES,ESB63439228
IN VILASSARENCA S.A.,"FRANCESC VILA, 10",,Sant Cugat Del Valles,08173,ES-B,ES,ESA58531682
IONFARMA S.L.,"PERU, 228",,Barcelona,08020,ES-B,ES,ESB62688320
IOSA INMUEBLES S.L.U.,"VIRIAT, 47",,Barcelona,08014,ES-B,ES,ESB08410151
I P. B. S. L.,"LINCOLN, 11 2 3",,Barcelona,08006,ES-B,ES,ESB58207283
IP CLEANING ESPAÑA S.L.,"VALENCIA, 11",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB61701801
IPE INDUSTRIA GRAFICA S.L.,"CR MONTCADA, 661",,Terrassa,08227,ES-B,ES,ESB58294547
IREKS IBERICA S.A.,"ELS ARGENTERS, 4",,Cerdanyola Del Valles,08290,ES-B,ES,ESA08914772
IRISMEN S.L.,"PG INDUSTRIAL EL PALOU NORD, 132 SECTOR F C R",,Granollers,08401,ES-B,ES,ESB60514502
IRITEB S.A.,"DOS DE MAIG, 46 BJ",,Badalona,08912,ES-B,ES,ESA58225764
ISCAPALMA S.A.U.,"LONGITUDINAL, 6",,Barcelona,08040,ES-B,ES,ESA07295660
ISOFEL S.A.,"PERMANYER, 223",,Sabadell,08205,ES-B,ES,ESA08436099
ISOFIX S.L.,"FORMENTERA, 4",,Sant Quirze Del Valles,08192,ES-B,ES,ESB58369851
ISOPRACTIC S.L.,"COBALT, 95",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESB63218440
ISP ES COMUNICACIONS S.L.,"JOSEP MARIA SERT - APDO, 17 53",,Lliça D'Amunt,08186,ES-B,ES,ESB62109723
ITAM DELTA DE LA TORDERA AIE,"BERLIN, 38 3",,Barcelona,08029,ES-B,ES,ESG62627740
I T. P. TECNOLOGICA S.L.,"RD UNIVERSITAT, 17 PR 3",,Barcelona,08007,ES-B,ES,ESB60217874
IURISDIAGONAL S.L.,"AV DIAGONAL, 520 5 2",,Barcelona,08006,ES-B,ES,ESB62943717
JAB ANSTOETZ S.A.,"RD UNIVERSITAT, 17 PR 1",,Barcelona,08007,ES-B,ES,ESA58882549
JAB FRUITS COMERCIAL DE FRUTAS CARNES Y PERECEDERO,"MC MERCABARNA, 86 11 CL LONGITUD",,Barcelona,08040,ES-B,ES,ESB60752466
JAIME BARTOLI S.L.,"POETA MARAGALL, 12",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB08553828
JALLUT PINTURAS S.L.U.,"PINTOR JOAN MIRO, 38 PG CAN HUMET",,Poligono 1,08213,ES-B,ES,ESB08451536
JAMONES EL CHARRO S.A.,"MALLORCA, 654",,Barcelona,08026,ES-B,ES,ESA08963993
JAMONES SERRANOS CIURANA S.L.,"JUPITER, 10",,Badalona,08914,ES-B,ES,ESB60061116
JAMONES Y EMBUTIDOS LA BELLOTA S.L.,"CANTABRIA, 26 BJ",,Barcelona,08020,ES-B,ES,ESB58002734
JAMONIFICIO SUBIRATS S.L.,"TRAVESSERA DE GRACIA, 222",,Barcelona,08024,ES-B,ES,ESB59561936
JAPAN LESSEPS S.L.,"AV DE VALLCARCA, 70",,Barcelona,08023,ES-B,ES,ESB60745304
JARDILAND ESPAÑA S.A.,"PAU CLARIS, 102 2 2",,Barcelona,08009,ES-B,ES,ESA59378406
JAVIER FISA S.A.,"AV FABREGADA, 43",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESA08392938
J. D. J. S. L. SERIGRAFOS,"TT TORTUGUER - PG PINE, 43 NV 9 10",,Ripollet,08291,ES-B,ES,ESB63977193
JEAN LOUIS DAVID FRANCHISE SPAIN S.L.,"TRAFALGAR, 6",,Barcelona,08010,ES-B,ES,ESB60478179
JEPBET FRUITS S.L.,"PUIGCERDA, 211",,Barcelona,08020,ES-B,ES,ESB65153751
JESMON TELECOMUNICACIONES S.L.,"AV PRIMAVERA, 17",,Cerdanyola Del Valles,08290,ES-B,ES,ESB61787552
J. ESTELLER S.L.,"MARE DE DEU DEL COLL, 25 3 2",,Barcelona,08023,ES-B,ES,ESB59590042
J. GALOPA S.A.,"PS SANT JOAN, 153 BJ",,Barcelona,08037,ES-B,ES,ESA08874737
JGBR ABOGADOS Y ASESORES TRIBUTARIOS SLP,"AV DIAGONAL, 427 6 2",,Barcelona,08036,ES-B,ES,ESB63570170
J. ISERN PATENTES Y MARCAS D. S.L.,"JOHANN SEBASTIAN BACH, 11 O",,Barcelona,08021,ES-B,ES,ESB61380788
J. J. BCN INTERNACIONAL S.A.,"DE L'ORFEO CATALA, 1 P SUR 7 NV",,Cardedeu,08440,ES-B,ES,ESA61617767
J. J. VILA S.A.,"AMSTERDAM, 1 PG COVA SOLER PC 25",,Rubi,08191,ES-B,ES,ESA08404212
J. MESTRE S.A.,"MUELL PRINCIPE ESPAÑA E TERCAT, S/N PL 3",,Barcelona,08039,ES-B,ES,ESA08156093
J. M. MARIN S.A.,"RD SANT PERE, 38 EN",,Barcelona,08010,ES-B,ES,ESA08202582
JOAN SARDA S.A.,"MAJOR, 78",,Castellbisbal,08755,ES-B,ES,ESA08541021
JOSE COLLADO S.A.,"COSTA RICA, 35",,Barcelona,08027,ES-B,ES,ESA08611444
JOSE GOMEZ BENET S.A.,"VIC, 15",,Sant Cugat Del Valles,08173,ES-B,ES,ESA08376931
JOSE GRACIA MONZONE. HIJOS S.L.,"RICART, 34 BJ",,Sant Adria De Besos,08930,ES-B,ES,ESB62378518
JOSE MARIA CASANOVAS ENRICH S.L.,"PZ RAMON LLULL, 6 5",,Sabadell,08203,ES-B,ES,ESB08481145
JOSE MESTRE S.A.,"PROVIDENCIA, 70 BJ",,Barcelona,08024,ES-B,ES,ESA59943571
JOVENTUT BADALONA SAD,"PONENT, 143",,Badalona,08912,ES-B,ES,ESA60105368
J. P. CARRION S.L.,"TRAVESSIA INDUSTRIAL, 81 BS 1",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESB59468868
JPR INFOR S.A.,"PAU CLARIS, 180 6 3",,Barcelona,08037,ES-B,ES,ESA61157558
J. PUJOL MAQUINARIA Y CONFECCION S.A.,"AV BORBO, 62 BJ",,Barcelona,08016,ES-B,ES,ESA58509688
J. RIERA S.A.,"TRAVESSERA DE GRACIA, 15",,Barcelona,08021,ES-B,ES,ESA58091554
J. SABATE S.L.,"COSTA BRAVA, 11 BJ",,Barcelona,08030,ES-B,ES,ESB58493644
JUANA ALCALA S.A.,"XAROL, 2 P I GUIXERES B",,Badalona,08915,ES-B,ES,ESA62552807
JUAN ANTONIO VELASCO S.L.,"IFNI, 20 BJ",,Sant Adria De Besos,08930,ES-B,ES,ESB60581949
JUICY FRUIT SOCIEDAD EUROPEA DE ALIMENTACION S.L.,"ARAGO, 344 1 1",,Barcelona,08009,ES-B,ES,ESB63171904
JUMP 88 TRADING S.L.,"PZ URQUINAONA, 6 11 A",,Barcelona,08010,ES-B,ES,ESB64664451
JUNG ELECTRO IBERICA S.A.,"LG CARRETERA, S/N 155 KM 14,2",,Lliça De Vall,08185,ES-B,ES,ESA61775227
JURASIL S.L.,"RD SANT PERE, 16 5 2",,Barcelona,08010,ES-B,ES,ESB60864519
JUROGE S.L.,"DE MANRESA, 3",,Pla De La Bruguera,08211,ES-B,ES,ESB59824839
JUSMER S.L.,"DEL TORRENT DE VALLMAJOR, 78",,Badalona,08915,ES-B,ES,ESB59173963
JUST COLOUR GRAPHIC S.L.,"PRIMER DE MAIG, 5",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESB61980579
J. Y S. SAUQUET S.A.,"RB 00093, 93 BX",,Sabadell,08202,ES-B,ES,ESA08965667
KACHAFRUIT BARNA S.L.,"CARDENAL VIVES I TUTO, 57 BJ B",,Barcelona,08034,ES-B,ES,ESB64235740
KADION ESPECIALIDADES QUIMICAS S.L.,"CAN RABIA, 15 BA",,Barcelona,08017,ES-B,ES,ESB61502001
KAI MOTOR VALLES S.L.,"AV JAUME I, 41",,Terrassa,08226,ES-B,ES,ESB63249098
KAISER KRAFT S.A.,"ARAGO, 264 6",,Barcelona,08007,ES-B,ES,ESA58649351
KAOTIK O. S.L.,"ALFONS XII, 639 6 1",,Badalona,08918,ES-B,ES,ESB62025994
KARTSANA S.L.,"PRIORAT, 2",,Can Carner-Can Bages,08211,ES-B,ES,ESB58295536
KEMIRA IBERICA SALES AND MARKETING,"GRAN VIA DE LES CORTS CATALANES, 641 EN",,Barcelona,08010,ES-B,ES,ESB65389066
KENDAL 98 S.L.,"AV ESTATUT, 180 LO 1",,Rubi,08191,ES-B,ES,ESB61685095
KENFILT S.A.,"BLANQUERS, 2",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESA08748113
KEYLAB S.L.,"AV LLANA, 115",,Rubi,08191,ES-B,ES,ESB63529929
KIMALDI ELECTRONICS S.L.,"CR RUBI, 292 P I CAN GUITARD CONS",,Les Fonts,08228,ES-B,ES,ESB61802302
KIRSCH PHARMA ESPAÑA S.L.,"VIA AUGUSTA, 59 3",,Barcelona,08006,ES-B,ES,ESB80112857
KITIMAT PROMOCIONS IMMOBILIARIES S.L.,"GRAN VIA DE LES CORTS CATALANES, 637 3",,Barcelona,08010,ES-B,ES,ESB63865547
KIWITEL S.L.,"ENRIC GRANADOS, 149 1 B",,Barcelona,08008,ES-B,ES,ESB62054291
KLB GROUP PERFORMANCE EVERYDAY S.,"AV CAN PICANYOL, 43 3 7",,Sant Cugat Del Valles,08173,ES-B,ES,ESB62488135
KLOCKNER HOLSTEIN SEITZ S.A.,"CR RUBI, 88 1",,Sant Cugat Del Valles,08174,ES-B,ES,ESA78887700
KLOCKNER S.A.,"VIA AUGUSTA, 158 9",,Barcelona,08006,ES-B,ES,ESA58325549
KME IBERTUBOS S.A.,"CR SABADELL, S/N",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESA08210692
KONCITI VIAJES S.A.,"SALVADOR ESPRIU, 77 21",,Barcelona,08005,ES-B,ES,ESA60994274
KONIC S.L.,"PUJADES, 305",,Barcelona,08019,ES-B,ES,ESB08340721
KRONA KOBLENZ S.L.,"MOLI D'EN XEC, 3 3 6 49 NAU P",,Ripollet,08291,ES-B,ES,ESB60438223
KUBI WIRELESS S.L.,"VIA AUGUSTA, 13 4 40",,Barcelona,08006,ES-B,ES,ESB62605928
KVERNELAND GROUP IBERICA S.A.,"SECTOR C (ZONA FRANCA), S/N 28 F",,Barcelona,08040,ES-B,ES,ESA08661449
L. 35 ARQUITECTOS S. A. P.,"AV DIAGONAL, 466 6 2",,Barcelona,08006,ES-B,ES,ESA58562380
LA AUXILIAR DE RECAUDACION S.L.,"DOCTOR FERRAN, 13 7 2",,Barcelona,08034,ES-B,ES,ESB58531542
LA BADALONESA DE TRANSPORTES S.L.,"MOLL SUD, 1 B1 3",,Barcelona,08039,ES-B,ES,ESB08540494
LABCLINICS S.A.,"INDUSTRIA, 54 BJ",,Barcelona,08025,ES-B,ES,ESA58118928
LABORATOIRE NUXE ESPAÑA S.L.,"PS GRACIA, 118",,Barcelona,08008,ES-B,ES,ESB65460776
LABORATORIO ARAGO S.L.,"SALVADOR MUNDI, 11 BJ 4",,Barcelona,08017,ES-B,ES,ESB08651481
LABORATORIO DE APLICACIONES FARMACODINAMICA S.A.,"GRASSOT, 16 BJ 1",,Barcelona,08025,ES-B,ES,ESA08005274
LABORATORIO ESTEDI S.L.,"MONTSENY, 41",,Barcelona,08012,ES-B,ES,ESB08441305
LABORATORIO GENOVE S.A.,"FEIXA LLARGA, 105 BS 1",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESA08341265
LABORATORIOS ALMOFARMA S.L.,"RD GENERAL MITRE, 151",,Barcelona,08022,ES-B,ES,ESB61824082
LABORATORIOS BIODERMA S.L.,"PS GRACIA, 63 PR 1",,Barcelona,08008,ES-B,ES,ESB61424974
LABORATORIOS BYLY S.A.,"RD SANTA MARIA, 200",,Barbera Del Valles,08210,ES-B,ES,ESA08263469
LABORATORIOS COLOR EGM S.A.,"PRATS DE MOLLO, 20 AT 3",,Barcelona,08021,ES-B,ES,ESA08957284
LABORATORIOS DE PREVENCIONE. HIGIENE BUCAL S.L.,"CASTANYER, 25",,Barcelona,08022,ES-B,ES,ESB62158035
LABORATORIOS ENTEMA S.L.,"PG INDUSTRIAL CAN CORTES, S/N PJ PARTICULAR NA 8",,Palau-Solita I Plegamans,08184,ES-B,ES,ESB60734639
LABORATORIOS GLOWER S.A.,"AV FABREGADA, 22 1 1",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESA08085144
LABORATORIOS RANBAXY S.L.,"PS GRACIA, 9 7",,Barcelona,08007,ES-B,ES,ESB63424444
LABORATORIOS RAYT S.A.,"GARRIGA, 188",,Badalona,08912,ES-B,ES,ESA60106382
LA CHARCUTERIA ALEMANA S.L.,"LONGITUDINAL, 10",,Barcelona,08040,ES-B,ES,ESB08660896
LA CHUFERA S.A.,"RAMON CASAS, 19",,Badalona,08911,ES-B,ES,ESA08506560
LA COLOMINA 98 S.L.,"AV DE LA MARE DE DEU DE MONTSERRAT, 5",,Montornes Del Valles,08170,ES-B,ES,ESB61868840
LAFIMOB S.L.,"AV PUIGFRED, 33",,Badalona,08917,ES-B,ES,ESB62570775
LA FINESTRA SUL CIELO ESPAÑA S.L.,"PS RIU BESOS, 1",,Montmelo,08160,ES-B,ES,ESB63221998
LA GALERA S. A. EDITORIAL,"JOSEP PLA, 95",,Barcelona,08019,ES-B,ES,ESA08522617
LAGO Y PUIG GALLARDO S.A.,"DEL RIU, 11 PG CLOT",,Ripollet,08291,ES-B,ES,ESA58154618
LA HISPANENSE INDUSTRIAL Y COMERCIAL S.A.,"DIPUTACIO, 69 BJ",,Barcelona,08015,ES-B,ES,ESA28006831
LA IDEAL HOTELERA S.L.,"SABINO ARANA, 27",,Barcelona,08028,ES-B,ES,ESB08909293
LAIMO S.L.,"CAMPS I FABRES, S/N 3 11 4",,Barcelona,08006,ES-B,ES,ESB08421489
LA INDUSTRIAL VELERA MARSAL S.A.,"BOTANICA, 77 BS 1",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESA08059198
LAMITER S.A.,"BERGUEDA, 3 NAUS D I G",,Lliça De Vall,08185,ES-B,ES,ESA58519141
LAMPARAS ESPECIALES S.L.,"CR MOLINS DE REI, S/N KM. 8,2",,Rubi,08191,ES-B,ES,ESB58660440
LAMPIS AUTOMOCIO S.L.,"MUNTANYA, 18",,L'Hospitalet De Llobregat,08901,ES-B,ES,ESB63416804
LANA SARRATE S.A.,"PS MANUEL GIRONA, 2 BJ",,Barcelona,08034,ES-B,ES,ESA08315525
LANDTRANS S.A.,"PS L'AGRICOLA, S/N",,Barcelona,08039,ES-B,ES,ESA58284621
LANITEX S.A.,"PARE RODAMILANS, 77",,Sabadell,08205,ES-B,ES,ESA08086472
LANXESS CHEMICALS S.L.,"MUELL BCN, S/N ED. WORLD TRADE NORTE 7",,Barcelona,08039,ES-B,ES,ESB62776844
LA PERLA GRIS S.L.,"RB CATALUNYA, 118 PR 1",,Barcelona,08008,ES-B,ES,ESB60069739
LAPEYRA Y TALTAVULL COMERCIAL S.L.,"INDUSTRIA, 127",,Barcelona,08025,ES-B,ES,ESB63370969
LAPOGI S.L.,"PRINCESA, 16 2 2",,Barcelona,08003,ES-B,ES,ESB59719914
LAPPSET ESPAÑA V. R. S.L.,"DE LA CERAMICA, 2 PG FERRERIA",,Terra Nostra,08110,ES-B,ES,ESB60961554
LAREN 2000 S.L.,"MOLL ALVAREZ DE LA CAMPA, S/N ED TIR 1 7",,Barcelona,08039,ES-B,ES,ESB61945465
LA RIBERA S.A.,"PZ COMERCIAL, 11 BJ",,Barcelona,08003,ES-B,ES,ESA08064313
LAROUSSE EDITORIAL S.L.,"MALLORCA, 45 3",,Barcelona,08029,ES-B,ES,ESB59886531
LASER ROLL S.L.,"LG CAN ARMENGOL, 13",,Sabadell,08202,ES-B,ES,ESB62611066
LASRY GLASS ESPAÑA S.L.,"TRAVESSIA INDUSTRIAL, 43 BS 1",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESB20351573
LAUDA ULTRACOOL S.L.U.,"DE COLOM, 606",,Terrassa,08228,ES-B,ES,ESB58115593
LAUDIO AUDIOLOGIA S.L.,"ROSSELLO, 258 PR 1",,Barcelona,08037,ES-B,ES,ESB60738432
LAUFEN BATHROOMS S.A.,"CERDANYA, 2",,Caldes De Montbui,08140,ES-B,ES,ESA58405739
LAURENDOR S.L.,"DE CUSCO, 35 EN 4",,Barcelona,08030,ES-B,ES,ESB08038176
LAUSON S.L.,"COMTE D'URGELL, 143 1 2",,Barcelona,08036,ES-B,ES,ESB60421062
LAVANDERIA LOGO S.L.,"RECTOR TOMAS VILA, 31",,Sant Feliu De Codines,08182,ES-B,ES,ESB61231981
LAVAZZA SPAGNA S.L.,"BEETHOVEN, 15 1 1",,Barcelona,08021,ES-B,ES,ESB61759015
LECHLER COATINGS IBERICA S.L.,"PRIMER DE MAIG, 25 BS 1",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESB61596433
LE COQ SPORTIF ESPAÑA S.A.,"RD MAIOLS, 1",,Sant Quirze Del Valles,08192,ES-B,ES,ESA50900513
LEICA GEOSYSTEMS S.L.,"NICARAGUA, 46 5",,Barcelona,08029,ES-B,ES,ESB61395497
LENZE TRANSMISIONES S.A.,"MILA I FONTANALS, 139 135",,Sabadell,08205,ES-B,ES,ESA59538538
LEONAUTO S.A.,"JOSEP IRLA I BOSCH, 1",,Barcelona,08034,ES-B,ES,ESA08343956
LERRASA HIDRAULICA S.A.,"BALMES, 14",,Ripollet,08291,ES-B,ES,ESA08779563
LESEMAR S.A.,"MC MERCABARNA, 69 MERCAT PEIX",,Barcelona,08040,ES-B,ES,ESA08973604
LETAMENDI MOTOR S.A.,"DIPUTACIO, 181 175",,Barcelona,08011,ES-B,ES,ESA59859439
LETI PHARMA S.L.,"GRAN VIA DE LES CORTS CATALANES, 184 5 6B",,Barcelona,08038,ES-B,ES,ESB58453184
LEUZE ELECTRONIC S.A.,"JOAN GÜELL, 32 BJ",,Barcelona,08028,ES-B,ES,ESA58548777
LEVI S. FOOTWEAR ACCESSORIES SPAIN S.A.,"TARRAGONA, 109 17",,Barcelona,08014,ES-B,ES,ESA58359464
LGC STANDARDS S.L.,"SALVADOR ESPRIU, 59 2",,Barcelona,08005,ES-B,ES,ESB62362041
L. GONZALEZ CATALAN S.A.,"BARCELONA, 35",,La Llagosta,08120,ES-B,ES,ESA08414880
LIBERTY CARGO S.L.,"VILAMARI, 90 EN",,Barcelona,08015,ES-B,ES,ESB61691895
LICOTRANSA S.L.,"ESCULTURA, 13 NV 16",,Can Cuias,08110,ES-B,ES,ESB62017017
LIFE INFORMATICA S.L.,"SEPULVEDA, 173 BJ",,Barcelona,08011,ES-B,ES,ESB63098974
LIGHTSOUND BUSINES S.L.,"ALMOGAVERS, 118 BJ",,Barcelona,08018,ES-B,ES,ESB63537104
LIHSA HOTELES S.A.,"SABINO ARANA, 27",,Barcelona,08028,ES-B,ES,ESA08796518
LILAC TIME S.L.,"COMTE DE SALVATIERRA, 5 3",,Barcelona,08006,ES-B,ES,ESB61353017
LIMA IMPLANTES S.L.U.,"LLUÇA, 28 2",,Barcelona,08028,ES-B,ES,ESB96151634
LIMOSA S.L.,"PZ EUSEBI GÜELL, 12",,Barcelona,08034,ES-B,ES,ESB08705089
LINCE HOTELES S.L.U.,"PRINCESA, 58",,Barcelona,08003,ES-B,ES,ESB82468661
LINCOLN ELECTRIC EUROPE S.L.,"BALMES, 89 8 2",,Barcelona,08008,ES-B,ES,ESB62866736
LINDE MEDICINAL S.L.,"BAILEN, 105",,Barcelona,08009,ES-B,ES,ESB14231070
LINEALAB S.L.,"DE LA MORA, 47",,Badalona,08918,ES-B,ES,ESB63935951
LINEAS OMENEX METRONIC S.L.,"CR SENTMENAT, 47",,Poligono 2,08213,ES-B,ES,ESB61357372
LINEA TMK 2017 S.L.,"AV MERIDIANA, 89 4",,Barcelona,08026,ES-B,ES,ESB64448913
LINVATEC SPAIN S.L.,"GRAN VIA CARLES III, 124 3 2",,Barcelona,08034,ES-B,ES,ESB62749064
LIPIDOS SANTIGA HUELVA S.L.,"CR B-141 (RIPOLLET-SANTIGA), 4",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB64864994
LITORAL MOTOR S.A.,"JOAN D'AUSTRIA, 1",,Sant Adria De Besos,08930,ES-B,ES,ESA64377393
LITO STAMP IMPRESION GRAFICA S.A.,"PERU, 144 BJ",,Barcelona,08020,ES-B,ES,ESA58632274
L. K. BITRONIC S.L.,"PI I MARGALL, 30",,Barcelona,08025,ES-B,ES,ESB61056495
LLENYES I CARBONS PONC S.L.,"SERRAT DEL VENT, 38",,Els Fruiters,08211,ES-B,ES,ESB61710901
LLIBRERIA DEL RAVAL S.L.,"ELISABETS, 6",,Barcelona,08001,ES-B,ES,ESB60895513
LLINARES IMPORT S.L.,"NARCIS MONTURIOL, 17",,Mas Rampinyo,08110,ES-B,ES,ESB60321841
LLORENS Y ASOCIADOS S.L.,"CONSELL DE CENT, 130 SA 1",,Barcelona,08015,ES-B,ES,ESB59355552
LOC TEAM S.L.,"AV DIAGONAL, 407 EN 1",,Barcelona,08008,ES-B,ES,ESB59419978
LOGICGREEN EUROPE LOGISTIC S.L.,"CASETA, 16 PG SERRA II NV 6",,Lliça De Vall,08185,ES-B,ES,ESB63195143
LOGIC SOLUCIONES DE HARDWARE S.L.,"REINA ELIONOR, 178 2",,Sabadell,08205,ES-B,ES,ESB64652738
LOGIPOINT S.L.,"ATLANTIC, 120",,Barcelona,08040,ES-B,ES,ESB48138853
LOGISBER FORWARDING S.L.,"PG MONTSERRAT ISERN, 2 A 3 A",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESB64057706
LOGISTER S.A.,"JESUS I MARIA, 6",,Barcelona,08022,ES-B,ES,ESA58386202
LOGITEK S.A.,"CR SANT CUGAT, S/N 1",,Rubi,08191,ES-B,ES,ESA08621245
LOGPAY FUEL SPAIN S.L.U.,"ARIBAU, 171 PR 2",,Barcelona,08036,ES-B,ES,ESB65361255
LORK INDUSTRIAS S.L.,"CARACAS, 11",,Barcelona,08030,ES-B,ES,ESB60417367
LOTUM S.A.,"JOVELLANOS, 52 40",,Sant Adria De Besos,08930,ES-B,ES,ESA08364960
LOYDIS GIFTS INTERNATIONAL S.L.,"AV FABREGADA, 20",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESB64018757
LTCM S.L.U.,"TRAFALGAR, 4",,Barcelona,08010,ES-B,ES,ESB59881987
LUANUR S.A.,"TRAVESSIA INDUSTRIAL, 91",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESA59868513
LUCIANO AGUILAR S.A.,"MALLORCA, 279 3 3",,Barcelona,08037,ES-B,ES,ESA08166456
LUENGO COLOR S.L.,"PISUERGA, 14",,Terrassa,08223,ES-B,ES,ESB63450811
LUIS PARES S.L.,"GRAN VIA CARLES III, 124 2",,Barcelona,08034,ES-B,ES,ESB08284002
LUIS SORIANO S.A.,"PZ INDUSTRIAL, 23",,Viladecavalls,08232,ES-B,ES,ESA08608770
LUK INTERNACIONAL S.A.,"TRAVESSERA DE GRACIA, 17 EN C-",,Barcelona,08021,ES-B,ES,ESA58072281
LUXIMPORT S.A.,"ZAMORA, 99",,Barcelona,08018,ES-B,ES,ESA58339060
LUZI BOMBON S.L.,"MALLORCA, 273 EN 1",,Barcelona,08008,ES-B,ES,ESB64867518
LUZ NEGRA S.L.,"CARLES BUHIGAS, 13",,Can Castells,08420,ES-B,ES,ESB60155959
M. 4. PHARMA S.L.,"MARROC, 200",,Barcelona,08019,ES-B,ES,ESB60780301
MABRIK S.A.,"MARCONI, 66",,Barbera Del Valles,08210,ES-B,ES,ESA08319782
MABUS S.A.,"APOL·LO, 10 D",,Terrassa,08228,ES-B,ES,ESA08728438
MACANA S.A.,"PS GRACIA, 96 3 1",,Barcelona,08008,ES-B,ES,ESA08283061
MACLAREN ARTICULOS DE PUERICULTURA S.L.U.,"TAQUIGRAF SERRA, 12",,Barcelona,08029,ES-B,ES,ESB65019366
MACOPAL S.L.,"CR C-155, S/N 152 KM 24,100",,Lliça De Vall,08185,ES-B,ES,ESB60251394
MACTAC EUROPE S. A. SUCURSAL EN ESPAÑA,"MONTSERRAT ROIG, 16 BS 1",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESW0021181C
MADERAS NORMALIZADAS ARRAHONA 2005 S.L.,"JOSEP MARIA QUADRADO, 12",,Sabadell,08203,ES-B,ES,ESB64036775
MADERAS SAN PASCUAL S.L.,"CIUTAT D'ASUNCION, 28",,Barcelona,08030,ES-B,ES,ESB59979047
MADERAS VIRREY S.A.,"FRESSER, 9 PLA D EN COLL",,Mas Rampinyo,08110,ES-B,ES,ESA08633364
MADNESS ARTICLE S.L.,"JOSEP MARIA SERT, 10",,Badalona,08911,ES-B,ES,ESB64163934
MAESPA MANIPULADOS S.L.,"CR C -, S/N 17 P. I. PLA DE COLL",,Montcada I Reixac,08110,ES-B,ES,ESB63914352
MAGATZEM CENTRAL DE LLIBRERIA S.L.,"ROGER DE LLURIA, 118",,Barcelona,08037,ES-B,ES,ESB60874971
MAGIC BOX INT TOYS S.L.U.,"AV CORTS CATALANES, 8 2 2 16",,Sant Cugat Del Valles,08173,ES-B,ES,ESB61139549
MAGLA S.L.,"GRAN DE GRACIA, 75 PR",,Barcelona,08012,ES-B,ES,ESB58741935
MAHECO S.A.,"SANTA ANNA, 44",,Cerdanyola Del Valles,08290,ES-B,ES,ESA58285420
MAINPLAS S.L.,"COMADRAN, 11",,Barbera Del Valles,08210,ES-B,ES,ESB60058914
MAISON EUROPA S.L.,"BALMES, 266 BJ",,Barcelona,08006,ES-B,ES,ESB60910023
MALEUBRE CANO S.L.,"MC MERCABARNA, 6015 PABELLON F",,Barcelona,08040,ES-B,ES,ESB59164798
MALLAS LEVANTE S.L.,"ISIDRE NONELL, 19",,Badalona,08911,ES-B,ES,ESB62725957
